"","Surv","Surv"
"1",0.50857330172979,0.739162561576355
"2",3.04661291686635,2.18413793103448
"3",2.02022907814521,0.577594354483019
"4",0.191268191268191,0.11352329262777
"5",0.308015478164732,0.019103934500796
"6",1.50883950195781,0.174802904967183
"7",0.69717932089128,0.307686032092342
"8",0.326226319959663,0.841919191919192
"9",0.317740431628499,0.629641283826306
"10",0.302154122323375,0.00753175703526061
"11",1.36538461538462,NA
"12",0.43578091365702,0.0588235294117647
"13",4.03115545542324,2.04942630185349
"14",0.230138390568939,0.564482029598309
"15",0.648535182988044,0.452899575671853
"16",0.370971240185659,1.22475738178815
"17",0.494459250946837,0.29231750079694
"18",0.027348670688855,0.0817493600566418
"19",0.853043333376056,0.188706108376074
"20",0.182587889011596,1.18004045886716
